 
0	100	   
0.0167	100	   
0.0334	100	   
0.0501	100	   
0.0668	100	   
0.0835	1500	   
0.1002	1500	   
0.1169	1500	   
0.1336	1500	   
0.1503	1500	   
0.167	1500	   
0.1837	1500	   
0.2004	1500	   
0.2171	1500	   
0.2338	1500	   
0.2505	100	   
0.2672	100	   
0.2839	100	   
0.3006	100	   
0.3173	100	   
0.334	100	   
0.3507	100	   
0.3674	100	   
0.3841	100	   
0.4008	100	   
0.4175	100	   
0.4342	100	   
0.4509	100	   
0.4676	100	   
0.4843	100	   
0.501	100	   
0.5177	100	   
0.5344	100	   
0.5511	100	   
0.5678	100	   
0.5845	100	   
0.6012	100	   
0.6179	100	   
0.6346	100	   
0.6513	100	   
0.668	100	   
0.6847	100	   
0.7014	100	   
0.7181	100	   
0.7348	100	   
0.7515	1500	   
0.7682	1500	   
0.7849	1500	   
0.8016	1500	   
0.8183	1500	   
0.835	1500	   
0.8517	1500	   
0.8684	1500	   
0.8851	1500	   
0.9018	1500	   
0.9185	100	   
0.9352	100	   
0.9519	100	   
0.9686	100	   
0.9853	100	   
1.002	100	   
1.0187	100	   
1.0354	100	   
1.0521	100	   
1.0688	100	   
1.0855	100	   
1.1022	100	   
1.1189	100	   
1.1356	100	   
1.1523	100	   
1.169	100	   
1.1857	100	   
1.2024	100	   
1.2191	100	   
1.2358	100	   
1.2525	100	   
1.2692	100	   
1.2859	100	   
1.3026	100	   
1.3193	100	   
1.336	100	   
1.3527	100	   
1.3694	100	   
1.3861	100	   
1.4028	100	   
1.4195	1500	   
1.4362	1500	   
1.4529	1500	   
1.4696	1500	   
1.4863	1500	   
1.503	1500	   
1.5197	1500	   
1.5364	1500	   
1.5531	1500	   
1.5698	1500	   
1.5865	100	   
1.6032	100	   
1.6199	100	   
1.6366	100	   
1.6533	100	   
1.67	100	   
1.6867	100	   
1.7034	100	   
1.7201	100	   
1.7368	100	   
1.7535	100	   
1.7702	100	   
1.7869	100	   
1.8036	100	   
1.8203	100	   
1.837	100	   
1.8537	100	   
1.8704	100	   
1.8871	100	   
1.9038	100	   
1.9205	100	   
1.9372	100	   
1.9539	100	   
1.9706	100	   
1.9873	100	   
2.004	100	   
2.0207	100	   
2.0374	100	   
2.0541	100	   
2.0708	100	   
2.0875	1500	   
2.1042	1500	     
2.1209	1500	   
2.1376	1500	   
2.1543	1500	   
2.171	1500	   
2.1877	1500	   
2.2044	1500	   
2.2211	1500	   
2.2378	1500	   
2.2545	100	   
2.2712	100	   
2.2879	100	   
2.3046	100	   
2.3213	100	   
2.338	100	   
2.3547	100	   
2.3714	100	   
2.3881	100	   
2.4048	100	   
2.4215	100	   
2.4382	100	   
2.4549	100	   
2.4716	100	   
2.4883	100	   
2.505	100	   
2.5217	100	   
2.5384	100	   
2.5551	100	   
2.5718	100	   
2.5885	100	   
2.6052	100	   
2.6219	100	   
2.6386	100	   
2.6553	100	   
